"Candidate","Shift in Poll","Poll_7.22.15","Poll_9.1.15","Candidate Confidence","Sentiment","Sentiment Confidence","Subject","Subject Confidence","Retweet Count","Subject_Strict","text","full_text","time","TopicSentiment"
"Marco Rubio",-3,NA,"7",0.4021,"Negative",0.6341,"Immigration",0.4021,9,NA,"TheBaxterBean Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers  GOPDebate","RT @TheBaxterBean: Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers http://t.co/We77QdT3Kt #GOPDebate http://t‰Û_",2015-08-07 09:52:00,"Immigration Negative"
"Marco Rubio",-3,NA,"7",1,"Positive",1,"Immigration",1,18,NA,"RickCanton TeamMarco  understands immigration better than anyone on stage GOPDebate","RT @RickCanton: #TeamMarco - understands immigration better than anyone on stage. #GOPDebate http://t.co/ivvfCxpnN7",2015-08-07 09:46:00,"Immigration Positive"
"Marco Rubio",-3,NA,"7",1,"Negative",0.6629,"Immigration",1,10,NA,"REMINDER Marco Rubio Abandoned ImmigrationReform So He Could Run For President  GOPDebate","REMINDER: Marco Rubio Abandoned #ImmigrationReform So He Could Run For President http://t.co/rIQRabv3al #GOPDebate http://t.co/ICXWvlJKY8",2015-08-07 09:44:00,"Immigration Negative"
"Marco Rubio",-3,NA,"7",1,"Negative",1,"Immigration",1,6,NA,"TH3R34LTRUTH Rubio said he was worried about all the people who cant get in How about worrying about those born here 4a change GOP","RT @TH3R34LTRUTH: #Rubio said he was worried about all the people who can't get in. How about worrying about those born here 4a change #GOP‰Û_",2015-08-07 09:44:00,"Immigration Negative"
"Marco Rubio",-3,NA,"7",1,"Negative",1,"Immigration",1,9,NA,"Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers  GOPDebate","Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers http://t.co/We77QdT3Kt #GOPDebate http://t.co/R406NpVEx5",2015-08-07 09:43:00,"Immigration Negative"
"Marco Rubio",-3,NA,"7",1,"Neutral",1,"Immigration",1,0,NA,"On immigrationreform GOPDebate marcorubio most are Central Americans not Mexicans true and he wants electronic monitoring systems","On #immigrationreform #GOPDebate @marcorubio: most are Central Americans not Mexicans (true) and he wants electronic monitoring systems",2015-08-07 09:35:00,"Immigration Neutral"
"Marco Rubio",-3,NA,"7",1,"Positive",0.665,"Immigration",1,15,NA,"rumpfshaker Having attended marcorubio amp GovernorPerrys announcements I assure you both mentioned illegal immigration as a priorit","RT @rumpfshaker: Having attended @marcorubio &amp; @GovernorPerry's announcements, I assure you both mentioned illegal immigration as a priorit‰Û_",2015-08-07 09:34:00,"Immigration Positive"
"Marco Rubio",-3,NA,"7",1,"Negative",1,"Immigration",1,57,NA,"kmcq        This is the most generous country in the world when it comes to immigration        says Rubio Yes that       s the problem GOPDebate","RT @k_mcq: ‰ÛÏThis is the most generous country in the world when it comes to immigration,‰Û says Rubio. Yes, that‰Ûªs the problem. #GOPDebate",2015-08-07 09:32:00,"Immigration Negative"
"Marco Rubio",-3,NA,"7",1,"Neutral",0.6358,"Immigration",0.6705,285,NA,"OhNoSheTwitnt How great would it be if Rubio said the immigrants arent coming from Mexico theyre coming from CANADA and glared at T","RT @OhNoSheTwitnt: How great would it be if Rubio said the immigrants aren't coming from Mexico, they're coming from CANADA and glared at T‰Û_",2015-08-07 09:28:00,"Immigration Neutral"
"Marco Rubio",-3,NA,"7",1,"Negative",1,"Immigration",0.6739,6,NA,"Rubio said he was worried about all the people who cant get in How about worrying about those born here 4a change GOPDebate tcot","#Rubio said he was worried about all the people who can't get in. How about worrying about those born here 4a change #GOPDebate #tcot",2015-08-07 09:24:00,"Immigration Negative"
"Marco Rubio",-3,NA,"7",1,"Positive",0.6848,"Immigration",1,124,NA,"MattyIceAZ To be fair Marco Rubio has a point Tougher immigration laws might have prevented his parents from getting in GOPDebate","RT @MattyIceAZ: To be fair, Marco Rubio has a point. Tougher immigration laws might have prevented his parents from getting in. #GOPDebate",2015-08-07 09:18:00,"Immigration Positive"
"Marco Rubio",-3,NA,"7",1,"Positive",1,"Immigration",1,502,NA,"bencasselman Rubio is exactly right More new immigrants now come from Asia not Latin America GOPDebate","RT @bencasselman: Rubio is exactly right: More new immigrants now come from Asia, not Latin America. #GOPDebate http://t.co/IOHEpeVlvB",2015-08-07 08:48:00,"Immigration Positive"
"Marco Rubio",-3,NA,"7",0.4259,"Negative",0.6526,"Immigration",0.4259,3,NA,"Neither marcorubio nor JebBush defend immigrants at GOPDebate TNTVote AINF tlot p2 Latism Florida Miami","Neither @marcorubio nor @JebBush defend #immigrants at #GOPDebate -#TNTVote #AINF #tlot #p2 #Latism #Florida #Miami https://t.co/7VLvRnX8sp",2015-08-07 08:16:00,"Immigration Negative"
"Marco Rubio",-3,NA,"7",0.6633,"Neutral",0.6633,"Immigration",1,0,NA,"To get my vote MUST pledge to close that damn border require everify Work visas ok GOPDebate","To get my vote, MUST pledge to close that damn border, require e-verify. Work visas ok. #GOPDebate 
 https://t.co/Agt306huA2",2015-08-07 08:02:00,"Immigration Neutral"
"Marco Rubio",-3,NA,"7",1,"Negative",1,"Immigration",1,0,NA,"Youre parents were Illegal Marco Can I call you Marco GOPDebates","You're parents were Illegal Marco! Can I call you Marco? #GOPDebates",2015-08-06 19:59:00,"Immigration Negative"
